type,question,answer,ground_truth_context,source,page_range
Simple,"2024년 4/4분기 기준, 자동차 부문에서 수출(대수기준)의 전년동기대비 증감률은 얼마인가?","2024년 4/4분기 기준 자동차 수출(대수기준)은 전년동기대비 +0.4%로 소폭 증가했습니다. 보고서는 파업·폭설 등으로 일부 생산 차질이 있었음에도 유럽 및 중동지역에 대한 판매 증가로 인해 수출이 소폭 증가(+0.4%)로 전환되었고, 이러한 수출 증가가 전체적으로는 내수 부진 완화와 함께 자동차업계의 전체 판매 증가(+0.6%)로 이어졌다고 설명하고 있습니다.","1. 2024년 4/4분기 중 자동차 생산은 내수(-1.9%, 대수기준, 전년동기대비)가 국산차를 중심으로 부진이 다소 완화되고, 수출(+0.4%, 대수기준)은 파업, 폭설 등으로 인한 생산 차질에도 불구하고 유럽 및 중동지역에 대한 판매 증가로 늘면서 전체적으로는 증가(+0.6%)로 전환하였다.",2024_4사분기_주력산업_모니터링_보고서.pdf,8~10
Reasoning,"2025년 1/4분기 기준, 보고서는 자동차 수출이 감소할 것으로 전망하는데 그 주된 원인들은 무엇인가? 이유를 설명하시오.","2025년 1/4분기에는 내수가 기저효과와 신차출시 등으로 회복세를 보이더라도 수출은 감소할 것으로 전망됩니다. 그 주요 원인은 유럽 판매 부진과 미국의 보호무역주의 정책 강화에 따른 대응(미국 시장을 겨냥한 현지생산 확대)으로 기존의 수출이 축소될 가능성이 있기 때문입니다. 즉, 북미 수요가 건조하더라도 유럽 시장의 약세 및 보호무역 확대로 인해 글로벌 수출 비중과 물량이 줄어들 것으로 판단됩니다.","2. 2025년 1/4분기 중에는 내수가 지난해 부진에 따른 기저효과, 신차출시, 하이브리드차 수요 지속, 개별소비세 한시 인하조치 등으로 완만한 회복세를 이어가겠으나, 수출은 건조한 북미 수요에도 불구하고 유럽 판매 부진, 미국의 보호무역주의 정책 강화에 대응한 현지생산 확대 등으로 감소할 것으로 전망된다.",2024_4사분기_주력산업_모니터링_보고서.pdf,8~10
Visual,"2024년 4/4분기 보고서의 [그림 1.5] 전세계 파운드리 매출 전망을 보면, 2024년 전세계 파운드리 매출(단위: 십억달러)은 얼마로 표시되어 있는가(숫자와 의미를 함께 서술)?","보고서의 [그림 1.5]에 따르면 2024년 전세계 파운드리 매출은 142(십억달러)로 제시되어 있습니다. 이는 2023년 대비 약 22.9% 성장한 수준으로 표기되어 있으며, 보고서는 AI 투자수요 증가 등에 힘입어 전세계 파운드리 매출이 지속적으로 성장할 전망이라고 설명하고 있습니다.","[그림 1.5] 전세계 파운드리 매출 전망
2023 115  2024 142  2025 165  2026 177  2027 193  2028 209
전세계 파운드리 매출은 AI 투자수요 증가에 따라 성장을 지속할 전망",2024_4사분기_주력산업_모니터링_보고서.pdf,8~10
Simple,2024년 1분기 기준 철강제품의 주재료인 철광석과 유연탄 가격은 어떻게 변했나요?,"2024년 1분기(2024.1/4분기) 기준 철강제품의 주재료인 철광석 가격은 보합 수준을 유지하여 전년동기대비 0.8% 상승하였고, 유연탄 가격은 전년동기대비 9.6% 하락하였다. 즉 철광석은 소폭 상승한 반면 유연탄은 큰 폭으로 하락하여 원재료별로 상반된 가격 움직임을 보였다.","철강제품의 주재료인 철광석 가격은 보합 수준을 유지(전년동기대비 0.8% 상승)하였으며, 유연탄 가격은 전년동기대비 9.6% 하락하였다.",2024_1사분기_주력산업_모니터링_보고서.pdf,19~21
Reasoning,"2024년 1분기 기준 철강제품의 수출금액이 전년동기대비 감소한 주된 원인은 무엇이며, 그 이유는 무엇인가요?","2024년 1분기(2024.1/4분기) 철강제품 수출금액은 수출물량은 증가했으나 수출단가가 하락한 영향으로 전년동기대비 5.6% 감소하였다. 구체적으로 수출물량은 전체적으로 전년동기대비 3.8% 증가했지만(중국향 물량 감소에도 불구하고 미국·일본·인도로의 물량 증가), 수출단가는 중국 및 일본산 철강제품과의 경쟁 심화 등으로 전년동기대비 9.0% 하락하면서 수출금액 감소를 초래했다. 따라서 수출금액 감소의 주된 원인은 '단가 하락'이며, 이는 글로벌 경쟁 심화에 따른 가격압력으로 설명된다.","2024.1/4분기 중 철강제품(MTI 61) 수출(83.2억 달러)은 수출물량 증가에도 불구하고 수출단가 하락의 영향으로 전년동기대비 5.6% 감소하였다.
수출물량은 중국에 대한 물량이 감소(-9.5%)하였으나, 미국(+46.5%), 일본(+6.3%) 및 인도(+14.6%)로의 물량이 증가하면서 전년동기대비 3.8% 증가한 반면, 수출단가는 중국 및 일본산 철강제품과의 경쟁 심화 등으로 전년동기대비 9.0% 하락하였다.",2024_1사분기_주력산업_모니터링_보고서.pdf,19~21
Visual,2024년 1분기 기준 주요 수출 대상국별 철강제품 수출물량에서 미국으로의 전년동기대비 증감률은 얼마였나요?,"2024년 1분기(2024.1/4분기) 기준 미국으로의 철강제품 수출물량은 전년동기대비 46.5% 증가하였다. 보고서는 중국향 물량 감소에도 불구하고 미국, 일본, 인도로의 수출물량이 증가한 점을 지적하며, 미국으로의 수출물량 증가가 특히 큰 폭임을 명시하고 있다.","수출물량은 중국에 대한 물량이 감소(-9.5%)하였으나, 미국(+46.5%), 일본(+6.3%) 및 인도(+14.6%)로의 물량이 증가하면서 전년동기대비 3.8% 증가한 반면, 수출단가는 중국 및 일본산 철강제품과의 경쟁 심화 등으로 전년동기대비 9.0% 하락하였다.",2024_1사분기_주력산업_모니터링_보고서.pdf,19~21
Simple,2024년 4/4분기 기준 철강제품(MTI 61) 수출액은 얼마였으며 전년동기대비 증감은 어떠했습니까?,"2024년 4/4분기 철강제품(MTI 61) 수출액은 83.2억 달러였으며, 수출단가는 하락(-5.4%)했음에도 불구하고 수출물량이 증가(+10.1%)하여 전체적으로 전년동기대비 4.2% 증가하였다. 즉, 단가의 하락을 물량 증가가 상쇄하면서 수출금액은 증가한 것으로 해석된다.",3. 2024년 4/4분기 중 철강제품(MTI 61) 수출(83.2억 달러)은 수출단가의 하락(-5.4%)에도 불구하고 수출물량 증가(+10.1%)로 인해 전년동기대비 4.2% 증가하였다.,2024_4사분기_주력산업_모니터링_보고서.pdf,19~21
Reasoning,2024년 4/4분기 기준 철강제품 생산이 전년동기대비 감소한 주요 원인은 무엇인가요? 근거와 함께 설명해 주세요.,"2024년 4/4분기 철강제품 생산이 전년동기대비 2.8% 감소한 주요 원인은 국내 전방산업 수요 부진(특히 건설·가전 부문의 감소)과 저가 철강재의 수입 증가에 따른 출하 감소 및 재고 증가 등으로 요약할 수 있다. 보고서는 건설·가전 등 주요 수요처의 수요가 각각 전년동기대비 10.1%, 7.8% 감소했다고 지적하고 있으며, 또한 중국 등 후발국으로부터의 저가 철강재 수입 증가로 인해 철강제품 출하가 줄어들고 재고가 늘어났다고 보고한다. 이러한 수요 약화와 경쟁 심화가 생산 감소의 핵심 요인으로 작용했다.","1. 2024년 4/4분기 중 철강제품 생산은 전년동기대비 2.8% 감소하였다. 철강제품 수요는 국내 주요 전방산업인 건설·가전 등에서 부진(각각 전년동기대비 10.1%, 7.8% 감소)한 모습을 보였다. 한편 중국 등 후발국으로부터의 저가 철강재 수입 증가 및 철강제품 수요 부진 등으로 철강제품 출하는 전년동기대비 1.7% 감소하고 재고는 10.5% 증가하였다.",2024_4사분기_주력산업_모니터링_보고서.pdf,19~21
Visual,2024년 4/4분기 기준으로 [그림 4.5]에 표시된 수출물량 및 수출단가의 전년동기대비 변화율은 각각 얼마로 나타나나요?,"보고서의 [그림 4.5] 및 본문에 따르면 2024년 4/4분기에는 수출물량이 전년동기대비 +10.1% 증가하였고 수출단가는 전년동기대비 -5.4% 하락하였다. 즉, 도표에서 보여지는 물량의 큰 증가는 단가 하락에도 불구하고 총수출액 증가로 연결되었다.",3. 2024년 4/4분기 중 철강제품(MTI 61) 수출(83.2억 달러)은 수출단가의 하락(-5.4%)에도 불구하고 수출물량 증가(+10.1%)로 인해 전년동기대비 4.2% 증가하였다.,2024_4사분기_주력산업_모니터링_보고서.pdf,19~21
Simple,2024년 4분기 기준 자동차 내수판매(대수)는 전년동기대비 어떻게 변했나요?,"2024년 4분기 기준으로 자동차 내수판매(대수)는 전년동기대비 1.9% 감소했습니다. 감소의 배경으로는 경기둔화 우려와 소비심리 위축이 작용했으나, 신차 효과와 하이브리드차 판매 호조로 인해 감소폭은 축소된 것으로 설명됩니다.","2. 자동차 내수판매(대수)는 경기둔화 우려, 소비심리 위축 등으로 전년동기대비 1.9% 감소하였으나 신차효과와 하이브리드차 판매 호조에 힘입어 감소폭은 축소되었다.",2024_4사분기_주력산업_모니터링_보고서.pdf,11~13
